"Director_id","Director"
0000001,"Callner, Marty"
0000002,"London, Jeff"
0000003,"Cavassilas, Pierre"
0000004,"Abrahams, Jim"
0000005,"Mastorakis, Nico"
0000006,"Sawai, Koji"
0000007,"Mashimo, Kôichi"
0000008,"Damiani, Damiano"
0000009,"Kwan, Adrian"
0000010,"Marcks, Greg"
0000011,"Picarella, Michael"
0000012,"Bridgeman, Duncan"
0000013,"Gast, Leon"
0000014,"Edwards, Blake"
0000015,"Ting, Chung"
0000016,"Fong, Yeh"
0000017,"Junger, Gil"
0000018,"Sheng, Fu"
0000019,"Mikels, Ted V."
0000020,"Townsend, Robert"
0000021,"Lafia, John"
0000022,"Erkenov, Hussein"
0000023,"Davis, Michael"
0000024,"Scott, Rod S."
0000025,"Huff, Brent"
0000026,"Newsom, Ted"
0000027,"Reitherman, Wolfgang"
0000028,"Kammerud, Jim"
0000029,"Bailey, Fenton"
0000030,"Kormákur, Baltasar"
0000031,"Katz, Jennifer B."
0000032,"Lima, Kevin"
0000033,"Lumet, Sidney"
0000034,"Isham, Wayne"
0000035,"Coolidge, Martha"
0000036,"Merrill, Kieth"
0000037,"Pasolini, Pier Paolo"
0000038,"Sheehan, Michael"
0000039,"Camacho, Art"
0000040,"Ray, Fred Olen"
0000041,"Millar, Catherine"
0000042,"Castle, William"
0000043,"Winick, Gary"
0000044,"Rockwell, Alexandre"
0000045,"Hathaway, Henry"
0000046,"Thomas, Jeff"
0000047,"Ray, Albert"
0000048,"Acton, Jonty"
0000049,"Scott, Ridley"
0000050,"Tan, Royston"
0000051,"Murphy, Maurice"
0000052,"Herzfeld, John"
0000053,"Jones, Moon"
0000054,"Linder, Max"
0000055,"Rodobertti, Rodolfo"
0000056,"Morgan, Greg"
0000057,"Hunt, Peter H."
0000058,"Flaherty, Paul"
0000059,"Ling, Wu Yuen"
0000060,"Aiello, Danny, III"
0000061,"Reynolds, Kevin"
0000062,"Nunez, Frank"
0000063,"Gogh, Theo Van"
0000064,"Harrison, Ken"
0000065,"Ross-Pirie, Caroline"
0000066,"Thompson, Ernest"
0000067,"Anderson, Michael"
0000068,"Davis, Nick"
0000069,"Bonerz, Peter"
0000070,"Kang, Young Man"
0000071,"Schleppi, Helmut"
0000072,"Smallhorne, Jimmy"
0000073,"McGinly, Sean"
0000074,"Singleton, John"
0000075,"Simpson, Swan"
0000076,"Wynne, Paul"
0000077,"Becker, Israel"
0000078,"Thomas, Jay Lee"
0000079,"Briand, Manon"
0000080,"Houvouras, Anghus"
0000081,"Juran, Nathan"
0000082,"Fleischer, Richard"
0000083,"LeMay, Richard"
0000084,"Garcia, Risa Bramon"
0000085,"Chan, Gordon"
0000086,"Perraudin, René"
0000087,"Paton, Stuart"
0000088,"Goldstein, Allan A."
0000089,"Kubrick, Stanley"
0000090,"Lee, Si-myung"
0000091,"Hyams, Peter"
0000092,"Martino, Sergio"
0000093,"Inarritu, Alejandro Gonzalez"
0000094,"Jackson, Philip"
0000095,"Brown, Gary"
0000096,"Martínez, Arturo"
0000097,"Winterbottom, Michael"
0000098,"Finbow, Alexander"
0000099,"Turner, Kieran"
0000100,"Piccirillo, Tony"
0000101,"Szabó, István"
0000102,"Rebella, Juan Pablo"
0000103,"Lee, Spike"
0000104,"Adreon, Franklin"
0000105,"Thomas, Betty"
0000106,"Boyle, Danny"
0000107,"Gallo, George"
0000108,"Cole, Randel"
0000109,"Dick, Nigel"
0000110,"Tsutsumi, Yukihiko"
0000111,"Davis, Lee"
0000112,"Ivory, James"
0000113,"Hofsiss, Jack"
0000114,"Medina, José"
0000115,"Pollack, Sydney"
0000116,"Ku, Lu Chun"
0000117,"Abranches, Aluisio"
0000118,"Ardolino, Emile"
0000119,"Turteltaub, Jon"
0000120,"McNamara, Sean"
0000121,"Giannaris, Constantine"
0000122,"Ziehl, Scott"
0000123,"Altman, Robert"
0000124,"Sher, Jack"
0000125,"Mulcahy, Russell"
0000126,"Daves, Delmer"
0000127,"Tagliavini, Gabriela"
0000128,"Harper, Ryan"
0000129,"Middleton, Vanessa"
0000130,"Lichtenstein, Demian"
0000131,"Park, Cheol-su"
0000132,"Girard, Francois"
0000133,"Smith, Ron"
0000134,"Kuo, Joseph"
0000135,"Breillat, Catherine"
0000136,"Marshall, George"
0000137,"Schenkman, Richard"
0000138,"Findlay, Roberta"
0000139,"Kim, Ki-duk"
0000140,"Gordon, Tod"
0000141,"Aldrich, Robert"
0000142,"Gomezbeck, Del Tal"
0000143,"Garnett, Tay"
0000144,"Lehmann, Michael"
0000145,"Apted, Michael"
0000146,"Daurio, Ken"
0000147,"Bacon, Lloyd"
0000148,"Simoneau, Yves"
0000149,"Mizoguchi, Kenji"
0000150,"Hill, Walter"
0000151,"Purvis, Stephen"
0000152,"Yeaworth, Irvin"
0000153,"Klausner, Josh"
0000154,"Saroyan, Hank"
0000155,"Ko, Shu-How"
0000156,"Maysles, David"
0000157,"Hayes, John"
0000158,"Segal, Peter"
0000159,"Lapping, Brian"
0000160,"Leustig, Jack"
0000161,"Gardner, Daniel"
0000162,"Yu, Ronny"
0000163,"Christopher, Mark"
0000164,"Ray, Nicholas"
0000165,"Dea, Joe"
0000166,"Ozon, François"
0000167,"Crystal, Billy"
0000168,"Grauman, Walter"
0000169,"Howe, Cary"
0000170,"Kovacs, Steven"
0000171,"Ratanaruang, Pen-Ek"
0000172,"Pal, George"
0000173,"Fellows, Simon"
0000174,"Forsberg, Rolf"
0000175,"Weaver, Jeffrey L."
0000176,"Pais, Josh"
0000177,"Greenaway, Peter"
0000178,"Schulman, Tom"
0000179,"Horiuchi, Yasuhiro"
0000180,"Hanson, Curtis"
0000181,"Avildsen, John G."
0000182,"Iglesia, Álex de la"
0000183,"Fellini, Federico"
0000184,"Jones, David Hugh"
0000185,"Schumacher, Joel"
0000186,"Cardone, J.S."
0000187,"Lyne, Adrian"
0000188,"Mo, Lab Ky"
